,0
0,6
1,8
2,7
3,6
4,1
5,6
6,6
7,6
8,6
9,1
10,6
11,6
12,6
13,6
14,6
15,6
16,6
17,6
18,6
19,6
20,6
21,6
22,6
23,6
24,6
25,6
26,6
27,7
28,5
29,2
30,2
31,2
32,9
33,2
34,2
35,2
36,7
37,7
38,0
39,7
40,2
41,0
42,0
43,0
44,0
45,0
46,2
47,2
48,2
49,2
50,2
51,9
52,2
53,2
54,2
55,6
56,8
57,8
58,1
59,7
60,8
61,5
62,6
63,1
64,7
65,10
66,1
67,1
68,2
69,2
70,2
71,9
72,2
73,9
74,2
75,9
76,2
77,9
78,2
79,2
80,9
81,9
82,2
83,9
84,2
85,9
86,8
87,8
88,7
89,8
90,8
91,7
92,7
93,7
94,6
95,7
96,7
97,8
98,7
99,7
100,7
101,7
102,6
103,7
104,6
105,6
106,6
107,8
108,6
109,7
110,8
111,2
112,2
113,2
114,9
115,9
116,2
117,2
118,2
119,2
120,1
121,2
122,9
123,9
124,2
125,2
126,9
127,9
128,2
129,9
130,9
131,2
132,9
133,2
134,9
135,2
136,6
137,6
138,1
139,8
140,1
141,1
142,1
143,11
144,11
145,11
146,11
147,11
148,11
149,8
150,11
151,8
152,8
153,8
154,8
155,8
156,8
157,8
158,10
159,8
160,9
161,6
162,1
163,1
164,1
165,1
166,7
167,8
168,5
169,9
170,9
171,9
172,9
173,9
174,2
175,2
176,9
177,9
178,2
179,9
180,9
181,9
182,2
183,2
184,2
185,9
186,2
187,6
188,7
189,8
190,6
191,6
192,7
193,6
194,10
195,10
196,5
197,7
198,6
199,8
200,3
201,3
202,3
203,3
204,3
205,3
206,3
207,3
208,3
209,3
210,3
211,3
212,5
213,5
214,5
215,5
216,5
217,5
218,8
219,5
220,5
221,11
222,11
223,11
224,11
225,11
226,5
227,7
228,1
229,1
230,8
231,5
232,1
233,7
234,7
235,2
236,2
237,2
238,9
239,2
240,9
241,2
242,9
243,9
244,9
245,9
246,2
247,2
248,9
249,9
250,8
251,8
252,8
253,7
254,7
255,7
256,8
257,9
258,6
259,7
260,9
261,10
262,1
263,6
264,11
265,10
266,10
267,1
268,2
269,2
270,2
271,2
272,2
273,2
274,2
275,2
276,9
277,2
278,2
279,9
280,9
281,9
282,9
283,2
284,2
285,7
286,7
287,8
288,8
289,8
290,8
291,8
292,8
293,8
294,8
295,8
296,8
297,6
298,11
299,6
300,2
301,2
302,9
303,9
304,2
305,2
306,2
307,9
308,9
309,2
310,9
311,2
312,2
313,2
314,2
315,2
316,9
317,2
318,5
319,2
320,2
321,2
322,2
323,2
324,2
325,5
326,10
327,5
328,2
329,2
330,9
331,9
332,2
333,2
334,2
335,2
336,2
337,2
338,2
339,5
340,2
341,2
342,2
343,2
344,2
345,2
346,2
347,2
348,2
349,6
350,6
351,6
352,6
353,6
354,6
355,6
356,6
357,8
358,7
359,7
360,7
361,7
362,8
363,6
364,8
365,7
366,2
367,2
368,7
369,9
370,6
371,9
372,7
373,7
374,8
375,11
376,7
377,7
378,11
379,8
380,7
381,7
382,7
383,7
384,7
385,7
386,7
387,7
388,7
389,8
390,7
391,2
392,2
393,2
394,2
395,2
396,2
397,2
398,2
399,9
400,9
401,9
402,1
403,9
404,2
405,6
406,6
407,5
408,7
409,7
410,6
411,6
412,6
413,7
414,1
415,1
416,1
417,7
418,7
419,6
420,7
421,8
422,2
423,8
424,7
425,7
426,7
427,7
428,8
429,7
430,7
431,7
432,7
433,8
434,7
435,8
436,7
437,7
438,8
439,7
440,7
441,7
442,7
443,8
444,7
445,8
446,7
447,7
448,8
449,7
450,8
451,7
452,8
453,7
454,7
455,7
456,6
457,7
458,8
459,6
460,6
461,8
462,7
463,7
464,7
465,6
466,6
467,1
468,8
469,1
470,6
471,1
472,7
473,8
474,1
475,1
476,7
477,1
478,8
479,11
480,1
481,6
482,5
483,7
484,7
485,7
486,1
487,8
488,9
489,9
490,9
491,9
492,9
493,2
494,2
495,9
496,2
497,2
498,9
499,2
500,9
501,9
502,2
503,9
504,2
505,2
506,2
507,2
508,2
509,2
510,2
511,2
512,2
513,2
514,2
515,2
516,2
517,2
518,2
519,2
520,2
521,2
522,2
523,0
524,11
525,11
526,11
527,0
528,11
529,11
530,11
531,7
532,7
533,6
534,2
535,6
536,7
537,7
538,8
539,7
540,7
541,7
542,8
543,8
544,6
