,0
1,8
2,8
7,14
17,7
18,7
19,7
20,7
21,7
22,7
23,7
24,7
25,7
28,12
29,12
30,12
31,12
32,12
33,12
34,2
36,10
37,10
38,2
41,2
42,2
43,2
44,2
46,10
47,7
48,2
49,7
51,14
52,2
53,2
54,2
58,11
59,9
61,11
62,11
65,11
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
81,12
82,2
83,2
84,2
85,2
86,5
87,5
88,5
89,5
90,5
91,5
92,5
93,5
94,5
95,5
96,5
97,5
98,5
99,5
100,5
101,5
111,2
112,2
114,2
115,2
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,12
137,12
138,12
141,13
142,13
143,7
144,7
145,7
146,7
147,7
148,7
151,9
152,9
153,9
154,9
155,7
156,9
157,7
158,2
159,5
160,7
161,2
162,10
163,10
164,10
165,10
166,10
169,2
170,2
171,2
172,2
173,2
174,2
175,2
176,2
177,2
178,2
179,2
180,2
181,2
182,2
183,2
184,2
185,2
186,2
187,7
188,7
189,7
190,2
193,7
198,2
206,2
212,7
213,10
214,7
215,10
216,7
217,7
218,9
219,2
221,2
222,2
223,2
224,2
225,2
238,2
241,2
242,2
243,2
244,2
245,2
246,2
247,2
248,2
249,2
250,5
251,1
252,3
253,3
254,3
255,3
256,2
257,2
258,2
259,2
260,2
261,2
262,2
263,2
265,2
266,2
267,2
268,2
269,2
270,2
271,2
272,2
273,2
274,2
275,2
276,2
277,2
278,2
279,2
280,2
281,2
282,2
283,2
284,2
298,2
299,2
300,14
301,0
302,0
303,0
304,2
305,2
306,14
307,0
308,8
309,0
310,14
311,2
312,2
314,2
316,2
317,2
318,2
319,2
320,2
321,2
322,2
323,2
324,2
325,2
326,2
327,2
328,2
329,8
330,2
331,2
332,7
333,2
334,2
335,2
336,2
337,2
338,2
339,2
340,2
341,2
342,2
343,2
344,2
345,2
346,2
347,2
348,2
366,2
367,7
369,2
371,2
372,8
373,4
374,8
375,2
376,7
377,7
378,2
379,8
380,8
381,5
382,5
383,5
384,5
385,5
386,5
387,5
388,5
389,5
390,5
391,12
392,2
393,2
396,12
397,12
398,2
399,2
400,2
401,2
403,2
404,2
414,11
415,9
416,7
417,9
422,2
424,9
425,9
426,9
427,7
428,7
429,9
430,9
431,9
432,7
433,9
434,9
435,9
436,7
437,7
438,9
439,9
440,9
441,9
442,9
443,9
444,3
445,5
446,5
447,5
448,5
449,5
450,5
451,5
452,3
453,5
454,5
455,5
456,3
457,5
458,5
459,5
461,8
463,2
473,8
474,9
475,9
476,8
477,11
482,12
483,12
484,12
485,12
486,2
487,13
488,2
489,2
490,2
491,2
492,2
493,2
494,2
495,2
496,2
497,2
498,2
499,2
500,2
501,2
502,2
503,8
504,8
505,8
506,8
507,8
508,8
509,8
510,8
511,8
512,8
514,8
515,12
516,2
517,7
519,2
521,12
523,2
524,2
525,2
526,2
528,2
531,1
532,12
534,12
539,12
542,2
546,2
548,11
549,3
550,3
551,3
552,3
553,3
554,3
555,3
556,3
557,3
558,3
559,3
560,3
561,3
562,3
563,3
564,3
565,3
566,3
567,3
568,3
569,3
570,3
571,3
572,3
573,3
574,3
575,3
576,11
577,11
578,2
579,10
580,10
582,10
583,11
584,0
585,0
586,0
587,0
588,11
589,11
590,11
591,11
593,7
594,8
596,7
597,10
598,2
599,0
600,0
601,0
602,2
604,10
605,0
606,10
607,0
608,0
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,8
620,13
621,1
622,1
624,8
626,2
627,2
628,2
629,2
630,2
631,2
632,2
633,2
634,2
635,2
636,2
637,2
638,2
639,2
640,2
642,2
643,2
644,2
645,2
647,2
648,2
649,2
650,2
651,2
652,2
654,2
655,2
656,2
657,2
658,2
659,2
660,2
661,2
662,2
663,2
664,2
665,2
667,2
668,2
669,2
670,2
671,2
673,10
674,2
675,10
676,14
677,2
678,1
679,1
680,1
681,1
682,1
683,1
684,1
685,1
686,1
687,1
688,1
689,1
690,1
691,1
692,1
693,1
694,1
695,1
696,1
697,1
698,1
699,1
700,1
701,1
702,1
703,1
704,1
705,1
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,13
716,13
717,1
719,2
720,14
723,13
724,13
725,13
726,13
727,13
728,13
729,13
730,13
731,13
732,13
733,13
734,13
735,13
736,13
737,13
738,13
739,13
740,13
741,8
742,13
743,2
744,2
745,2
746,2
747,2
748,2
749,2
750,2
751,2
752,2
753,2
754,2
755,2
756,2
757,2
758,2
759,2
760,2
761,2
762,2
763,2
764,2
765,2
766,2
767,2
768,2
769,2
770,2
771,2
772,2
773,1
774,1
775,1
776,1
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,1
787,1
788,1
789,1
790,1
791,1
792,1
793,1
794,1
795,1
796,1
797,1
798,1
799,1
800,1
801,1
802,1
803,1
804,1
805,1
806,1
807,1
808,1
809,1
810,1
811,3
813,1
814,1
815,1
816,1
817,1
818,2
820,2
821,2
822,2
823,2
824,2
825,2
826,2
827,2
828,2
830,2
831,2
833,2
834,2
835,2
836,2
837,2
838,2
839,2
840,2
841,2
842,2
843,2
844,2
845,2
846,2
847,2
848,2
850,2
851,2
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,13
892,13
893,13
894,13
895,13
896,13
897,13
898,4
899,13
900,4
901,4
902,13
903,13
904,13
905,13
906,13
907,13
908,4
909,13
910,4
911,4
912,4
913,4
916,13
917,13
918,13
919,13
920,13
921,2
922,2
923,2
924,2
925,2
926,2
927,2
928,2
929,2
930,2
931,2
932,2
933,2
934,2
935,2
936,2
937,2
940,2
941,2
942,2
943,2
944,2
945,2
946,2
947,2
948,2
949,2
950,2
951,2
952,2
953,2
954,2
956,2
957,2
958,2
959,2
960,2
961,2
962,2
963,2
964,2
965,2
966,2
967,2
968,2
969,2
970,2
971,10
972,10
973,10
974,2
975,2
976,2
977,2
978,10
979,10
980,10
981,10
982,10
983,2
984,2
985,2
986,2
987,2
988,2
989,2
990,2
991,0
992,0
993,10
994,0
995,0
996,0
997,0
998,0
999,10
1000,0
1001,2
1002,2
1003,2
1004,2
1005,2
1006,2
1007,2
1008,2
1009,2
1010,2
1011,2
1012,2
1013,2
1014,2
1015,2
1018,2
1019,2
1020,2
1021,2
1022,2
1023,2
1024,2
1025,2
1026,2
1027,2
1028,2
1029,2
1030,2
1031,2
1033,2
1034,2
1035,2
1036,2
1037,2
1038,2
1039,2
1040,2
1041,2
1042,2
1043,2
1044,2
1045,14
1046,14
1047,14
1048,14
1050,0
1051,14
1052,14
1053,14
1054,14
1055,14
1056,14
1057,14
1058,14
1059,14
1060,14
1062,14
1063,14
1064,14
1065,14
1066,14
1067,14
1068,14
1070,14
1072,14
1073,14
1074,14
1075,4
1076,14
1077,0
1078,10
1079,0
1080,10
1081,14
1082,14
1083,14
1085,14
1086,14
1087,14
1089,10
1091,14
1092,0
1093,14
1094,0
1096,10
1097,14
1098,14
1099,0
1100,10
1101,10
1102,10
1103,0
1104,0
1105,0
1106,10
1107,10
1108,10
1109,10
1110,0
1111,0
1112,0
1113,0
1114,0
1115,0
1116,0
1117,0
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,12
1131,12
1132,12
1133,12
1134,0
1135,2
1136,2
1137,2
1138,2
1139,2
1140,2
1141,2
1142,2
1143,2
1144,2
1145,2
1146,2
1147,2
1148,2
1149,2
1150,2
1151,2
1154,2
1155,2
1156,2
1157,2
1158,2
1159,2
1160,2
1161,2
1162,2
1163,2
1164,13
1165,13
1166,13
1167,1
1168,1
1169,1
1170,13
1171,13
1172,13
1173,2
1174,8
1175,14
1177,6
1178,10
1179,10
1180,10
1181,10
1182,10
1183,10
1184,10
1185,10
1186,10
1189,2
1190,2
1191,2
1192,2
1193,2
1194,2
1195,2
1196,2
1197,2
1198,2
1199,2
1200,2
1201,2
1202,2
1203,2
1204,2
1207,2
1208,2
1209,2
1210,2
1211,2
1212,2
1213,2
1214,2
1215,2
1216,2
1217,2
1218,2
1254,13
1256,2
1260,13
1262,14
1265,1
1266,4
1267,4
1268,8
1269,4
1270,4
1271,4
1272,8
1273,4
1274,4
1275,4
1276,4
1277,4
1278,8
1279,4
1280,4
1281,4
1282,4
1283,4
1284,4
1285,8
1286,4
1287,4
1288,8
1289,4
1290,4
1324,3
1325,3
1326,3
1327,3
1328,3
1329,3
1330,3
1331,3
1332,3
1333,3
1334,3
1335,3
1336,3
1338,3
1340,2
1344,2
1345,2
1349,2
1361,2
1367,2
1370,2
1373,2
1374,2
1383,2
1384,2
1387,2
1394,2
1396,2
1402,2
1407,2
1432,6
1433,6
1434,6
1435,6
1436,6
1437,6
1438,6
1439,6
1440,6
1441,6
1442,6
1443,10
1444,6
1445,6
1446,6
1447,6
1448,6
1449,10
1450,6
1452,2
1453,2
1454,2
1455,2
1456,2
1457,2
1458,11
1459,11
1460,11
1461,11
1462,2
1463,11
1464,2
1465,2
1466,11
1467,0
1468,0
1469,0
1470,0
1471,0
1472,0
1474,0
1475,0
1476,0
1477,2
1478,2
1479,2
1480,2
1483,2
1484,2
1485,2
1486,2
1487,2
1488,2
1489,2
1492,0
1493,0
1494,0
1495,0
1496,0
1497,0
1498,0
1499,0
1500,0
1501,0
1502,0
1503,0
1504,0
1505,0
1506,0
1507,0
1508,0
1509,0
1510,0
1511,10
1512,8
1513,8
1514,2
1515,13
1516,10
1517,8
1518,2
1519,8
1520,2
1521,8
1522,8
1523,10
1524,8
1525,2
1526,8
1527,12
1528,10
1529,2
1530,2
1531,0
1532,10
1533,10
1534,10
1535,10
1536,10
1539,10
1542,10
1543,10
1544,10
1545,10
1546,10
1547,10
1548,5
1549,5
1550,5
1551,5
1552,3
1553,3
1554,3
1555,5
1556,5
1557,5
1558,5
1559,5
1560,3
1561,3
1562,1
1563,1
1564,13
1565,13
1566,1
1567,1
1568,13
1569,13
1570,1
1571,13
1572,1
1573,1
1574,8
1575,13
1576,1
1577,13
1578,13
1579,13
1580,1
1581,13
1582,13
1583,1
1585,13
1587,13
1588,13
1589,1
1590,1
1591,13
1592,7
