,0
0,9
1,11
2,3
3,9
4,9
5,9
6,9
7,9
8,9
9,9
10,9
11,9
12,9
13,9
14,9
15,9
16,9
17,6
18,6
19,6
20,6
21,6
22,6
23,6
24,6
25,6
26,6
27,0
28,5
29,5
30,5
31,14
32,14
33,14
34,14
35,10
36,10
37,10
38,14
39,14
40,10
41,15
42,15
43,15
44,15
45,15
46,3
47,9
48,9
49,3
50,9
51,9
52,14
53,14
54,14
55,14
56,14
57,14
58,2
59,9
60,9
61,16
62,16
63,16
64,14
65,9
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,6
87,6
88,6
89,6
90,6
91,6
92,6
93,6
94,6
95,6
96,6
97,14
98,6
99,6
100,6
101,6
102,16
103,14
104,14
105,14
106,14
107,18
108,14
109,5
110,1
111,5
112,2
113,14
114,16
115,16
116,16
117,14
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,14
137,14
138,14
139,14
140,14
141,12
142,12
143,17
144,17
145,17
146,15
147,14
148,14
149,14
150,14
151,9
152,9
153,9
154,9
155,9
156,9
157,9
158,9
159,9
160,9
161,9
162,14
163,14
164,14
165,9
166,14
167,14
168,1
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,15
188,15
189,15
190,15
191,14
192,14
193,15
194,5
195,5
196,11
197,11
198,5
199,5
200,14
201,14
202,14
203,14
204,14
205,16
206,14
207,14
208,14
209,14
210,16
211,14
212,11
213,5
214,11
215,11
216,11
217,11
218,11
219,11
220,11
221,2
222,2
223,2
224,2
225,2
226,16
227,14
228,14
229,14
230,14
231,14
232,14
233,16
234,16
235,14
236,14
237,14
238,0
239,14
240,14
241,14
242,0
243,0
244,0
245,0
246,16
247,14
248,0
249,0
250,15
251,15
252,15
253,15
254,15
255,15
256,14
257,14
258,14
259,9
260,14
261,14
262,14
263,14
264,14
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,12
286,12
287,12
288,12
289,12
290,12
291,12
292,12
293,12
294,12
295,12
296,12
297,12
298,12
299,12
300,16
301,14
302,16
303,14
304,14
305,9
306,9
307,9
308,9
309,14
310,9
311,14
312,14
313,14
314,14
315,14
316,14
317,14
318,5
319,5
320,5
321,5
322,5
323,5
324,5
325,5
326,5
327,5
328,5
329,5
330,5
331,5
332,14
333,5
334,5
335,5
336,5
337,5
338,5
339,5
340,5
341,5
342,5
343,5
344,5
345,5
346,5
347,5
348,5
349,16
350,16
351,14
352,16
353,14
354,14
355,14
356,14
357,14
358,14
359,16
360,14
361,14
362,14
363,14
364,14
365,14
366,16
367,16
368,14
369,14
370,14
371,14
372,14
373,14
374,14
375,14
376,15
377,14
378,14
379,14
380,15
381,15
382,9
383,14
384,14
385,14
386,14
387,15
388,14
389,14
390,14
391,14
392,14
393,14
394,14
395,14
396,14
397,14
398,14
399,14
400,14
401,14
402,14
403,14
404,14
405,16
406,16
407,16
408,16
409,14
410,16
411,16
412,16
413,14
414,9
415,11
416,9
417,9
418,9
419,9
420,3
421,1
422,1
423,18
424,14
425,9
426,9
427,16
428,14
429,9
430,9
431,16
432,14
433,16
434,9
435,9
436,9
437,14
438,9
439,9
440,9
441,9
442,9
443,9
444,6
445,6
446,6
447,6
448,6
449,6
450,6
451,6
452,14
453,6
454,6
455,6
456,14
457,6
458,6
459,6
460,9
461,9
462,9
463,9
464,9
465,3
466,9
467,9
468,3
469,9
470,9
471,11
472,9
473,9
474,9
475,9
476,9
477,9
478,9
479,9
480,9
481,9
482,5
483,5
484,5
485,11
486,14
487,14
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,14
504,15
505,9
506,14
507,15
508,14
509,9
510,15
511,15
512,14
513,15
514,14
515,15
516,15
517,15
518,15
519,15
520,15
521,15
522,15
523,16
524,16
525,16
526,14
527,14
528,14
529,16
530,16
531,6
532,6
533,16
534,14
535,16
536,17
537,0
538,15
539,1
540,9
541,16
542,14
543,9
544,16
545,16
546,16
547,16
548,4
549,4
550,4
551,4
552,4
553,4
554,4
555,4
556,4
557,4
558,4
559,4
560,4
561,4
562,4
563,4
564,4
565,7
566,7
567,7
568,7
569,7
570,7
571,12
572,12
573,12
574,12
575,12
576,4
577,4
578,4
579,4
