type,value
category,Professional Development
category,Industry Program
category,STEM Pipeline Program
category,Physics Contest
category,International Championship
category,National Finals Event
category,Educational Program
category,Academic Program
category,Space Programming Competition
category,Hour of Code
category,Academic Recognition
category,Science Program
category,Leadership Program
category,Application Resources
category,National Showcase Event
category,Cybersecurity Competition
category,Diversity Program
category,Outreach Program
category,Synthetic Biology Competition
category,Advanced Features
category,Advanced Competition
category,Biology Competition
category,Physics Competition
category,Educational Resources
category,Study Program
category,Research Award
category,Programming Challenges
category,Software Access
category,Competition Program
category,Career Exploration Program
category,University Pre-College
category,Team Competition
category,Career Readiness
category,Scholarship Program
category,Technical Competition
category,Research Project
category,Training Event
category,Research Competition
category,Alumni Network
category,Activity Cards
category,Diversity Scholarship
category,Educational Webinar
category,Environmental Competition
category,Meteorology Program
category,Online Program
category,Educational Outreach
category,Educational Tool
category,Community Program
category,Computer Science Program
category,Tutoring
category,Educational Travel
category,Robotics Program
category,Engineering Program
category,Programming Platform
category,STEAM Competition
category,International Competition
category,Study Resources
category,Academic Year Program
category,Essay Contest
category,Math Modeling Competition
category,National Environmental Competition
category,Expedition Program
category,Science Project
category,Curriculum Program
category,Computer Science Competition
category,Educational Resource
category,Career Development
category,Technical Resources
category,Afterschool Program
category,Internship Program
category,Online Resources
category,Championship Event
category,Middle School Program
category,Video Tutorials
category,Online Tutorial
category,Programming Certification
category,Training Program
category,Tutorial Library
category,Support Program
category,Math Program
category,Advanced STEM Competition
category,Computing Award
category,Programming Course
category,Early Learning Platform
category,Regional Competition
category,High School Program
category,Career Program
category,Recognition Program
category,Special Prize Category
category,Design Competition
category,Coding Program
category,STEM Activity
category,School Program
category,Research
category,Aerospace Competition
category,Tech Skills Program
category,Tech Program
category,Entrepreneurship Competition
category,Community Event
category,Federal Program
category,Citizen Science
category,Grant Program
category,Elementary Program
category,Student Organization
category,Engineering Challenge
category,Biomedical Program
category,Industry Competition
category,Virtual Program
category,STEM Program
category,Membership
category,Funding Program
category,Invitational Math Competition
category,Online Community
category,Monitoring Program
category,Innovation Competition
category,STEM Competition
category,Team Resources
category,Ocean Science Competition
category,Student Chapter
category,Chemistry Program
stem_field,Universal Design for Learning
stem_field,Inspiration
stem_field,Data Entry
stem_field,Team Building
stem_field,Research Skills
stem_field,Progress Tracking
stem_field,Ethics
stem_field,Multi-Subject
stem_field,Agile
stem_field,Entrepreneurship
stem_field,Career Guidance
stem_field,Shapes
stem_field,Public Policy
stem_field,Physical Science
stem_field,Magnetism
stem_field,Medical Science
stem_field,Animation
stem_field,Esports
stem_field,Displays
stem_field,Botany
stem_field,Strategic Planning
